entry_date,exit_date,entry_price,exit_price,underlying_return,lower_strike,upper_strike,spread_cost,payoff,pl,roi,volatility
2012-06-01,2012-06-22,1626.25,1572.15,-3.326671790930047,1593.725,1675.0375000000001,37.162232003063764,0.0,-37.162232003063764,-100.0,0.22363551458147662
2012-07-02,2012-07-23,1596.35,1576.9,-1.2184044852319276,1564.4229999999998,1644.2404999999999,36.0772310236822,12.477000000000317,-23.600231023681886,-65.41586023658515,0.18177873410389633
2012-07-31,2012-08-21,1613.9,1638.5,1.5242580085507162,1581.622,1662.3170000000002,35.3155171984811,56.87799999999993,21.562482801518826,61.05668134585953,0.11555990279144691
2012-08-29,2012-09-19,1656.55,1769.8,6.836497540068209,1623.4189999999999,1706.2465,35.540248346131065,82.8275000000001,47.287251653869035,133.05267648479096,0.08939666512663183
2012-09-27,2012-10-18,1777.9,1741.7,-2.036110017436299,1742.342,1831.237,39.47054820003092,0.0,-39.47054820003092,-100.0,0.13957316175827775
2012-10-26,2012-11-16,1711.35,1713.7,0.13731849124960505,1677.1229999999998,1762.6905,36.886731780134554,36.577000000000226,-0.309731780134328,-0.8396834449321825,0.09515417255643967
2012-11-26,2012-12-17,1749.1,1697.9301,-2.9254988279686645,1714.118,1801.5729999999999,38.621353539155365,0.0,-38.621353539155365,-100.0,0.1298534860744187
2012-12-25,2013-01-15,1658.9,1678.9,1.2056181807221567,1625.722,1708.6670000000001,35.89252289996327,53.17800000000011,17.285477100036843,48.15899163236177,0.10000866562157901
2013-01-23,2013-02-13,1685.75,1642.74,-2.551386623164764,1652.035,1736.3225,36.51032097013422,0.0,-36.51032097013422,-100.0,0.10132361434284722
2013-02-21,2013-03-14,1576.05,1590.3,0.9041591320072317,1544.529,1623.3315,34.773568965767964,45.77099999999996,10.997431034231994,31.62583353195112,0.12855366389470796
2013-03-22,2013-04-15,1608.45,1353.25,-15.866206596412702,1576.281,1656.7035,34.68087340287231,0.0,-34.68087340287231,-100.0,0.09559234798454647
2013-04-23,2013-05-14,1413.35,1426.0,0.8950366151342593,1385.0829999999999,1455.7504999999999,32.7835573161949,40.917000000000144,8.133442683805242,24.809518397771203,0.38318215167106057
2013-05-22,2013-06-12,1369.4,1388.4,1.387468964510008,1342.0120000000002,1410.4820000000002,31.192712928796595,46.38799999999992,15.195287071203325,48.714220869116154,0.20941376293176492
2013-06-20,2013-07-11,1278.0,1285.3,0.5712050078247266,1252.44,1316.3400000000001,29.340839276123347,32.8599999999999,3.5191607238765528,11.994069735899938,0.24941175686934813
2013-07-19,2013-08-09,1296.35,1314.5,1.4000848536275035,1270.4229999999998,1335.2404999999999,29.772781021964022,44.077000000000226,14.304218978036204,48.0446182285883,0.25172983575771846
2013-08-19,2013-09-09,1365.98,1387.05,1.5424823203853633,1338.6604,1406.9594,30.89508759241346,48.38959999999997,17.494512407586512,56.6255472014989,0.18417812726904065
2013-09-17,2013-10-08,1309.65,1318.8,0.6986599473141508,1283.457,1348.9395000000002,29.733292441197193,35.34299999999985,5.609707558802654,18.866755405230805,0.19676674884765177
2013-10-16,2013-11-06,1281.6,1318.4,2.871410736579283,1255.9679999999998,1320.048,29.096417816754183,62.432000000000244,33.33558218324606,114.5693686184658,0.19676075031644816
2013-11-14,2013-12-05,1287.39,1224.88,-4.855560475069709,1261.6422,1326.0117000000002,28.51970427143553,0.0,-28.51970427143553,-100.0,0.13560522042817136
2013-12-13,2014-01-03,1238.3,1236.55,-0.14132278123233366,1213.5339999999999,1275.449,28.17837661009372,23.016000000000076,-5.162376610093645,-18.320347838081062,0.2054107258034094
2014-01-13,2014-02-03,1253.4399,1257.64,0.3350858704912696,1228.371102,1291.0430970000002,28.020127713632576,29.268898000000036,1.24877028636746,4.456690201879052,0.15368390834948473
2014-02-11,2014-03-04,1291.85,1334.9,3.3324302357084834,1266.013,1330.6055,28.78791952233516,64.59249999999997,35.804580477664814,124.37362988279081,0.14697538437944138
2014-03-12,2014-04-02,1367.08,1289.8,-5.652924481376365,1339.7384,1408.0924,30.26030125456873,0.0,-30.26030125456873,-100.0,0.13413351755776234
2014-04-10,2014-05-01,1318.92,1284.1,-2.6400388196403224,1292.5416,1358.4876000000002,29.273109511433518,0.0,-29.273109511433518,-100.0,0.1390717962882622
2014-05-09,2014-05-30,1289.33,1251.05,-2.9689838908580457,1263.5433999999998,1328.0099,28.215679790414555,0.0,-28.215679790414555,-100.0,0.11568728453420286
