date,open,high,low,close,adjusted_close,volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,Returns,Volatility_20,Momentum_10,Momentum_30
2010-01-01,1097.25,1097.9,1097.05,1097.35,1097.35,0,,,,1097.35,1097.35,0.0,0.0,0.0,,,,,,,,
2010-01-04,1096.25,1123.8,1093.45,1120.4,1120.4,0,,,,1100.8961538461538,1099.0574074074075,1.8387464387462842,0.36774928774925686,1.4709971509970274,,,,,0.021005148767485382,,,
2010-01-05,1121.3,1128.1,1115.25,1119.05,1119.05,0,,,,1103.6890532544378,1100.538340192044,3.1507130623938338,0.9243420426781723,2.2263710197156614,,,,,-0.0012049268118530243,,,
2010-01-06,1118.4,1140.6,1116.0,1138.9,1138.9,0,,,,1109.1061219845242,1103.3799446222629,5.726177362261296,1.8847091065947972,3.8414682556664994,,,,,0.017738260131361594,,,
2010-01-07,1138.2,1139.15,1128.6,1132.3,1132.3,0,,,,1112.674410909982,1105.5221709465397,7.152239963442298,2.9382152779642974,4.214024685478001,,,,,-0.005795065413996103,,,
2010-01-08,1131.85,1139.8,1119.95,1136.6,1136.6,0,,,,1116.3552707699848,1107.8242323579072,8.531038412077578,4.0567799047869535,4.4742585072906245,,,,,0.0037975801466041403,,,
2010-01-11,1137.2,1161.9,1137.2,1153.0,1153.0,0,,,,1121.9929214207564,1111.1705855165808,10.822335904175588,5.4098911046646805,5.412444799510908,,,,,0.014428998768256207,,,
2010-01-12,1151.55,1158.4,1125.35,1127.7,1127.7,0,,,,1122.8709335098708,1112.3949865894267,10.47594692044413,6.42310226782057,4.05284465262356,,,,,-0.021942758022549858,,,
2010-01-13,1128.5,1138.85,1119.75,1138.8,1138.8,0,,,,1125.3215591237367,1114.3509135087286,10.970645615008152,7.332610937258087,3.638034677750065,,,,,0.009843043362596449,,,
2010-01-14,1137.95,1146.65,1131.15,1143.25,1143.25,0,,,,1128.079780797008,1116.491586582156,11.58819421485191,8.183727592776851,3.4044666220750592,,,,,0.00390762205830697,,,
2010-01-15,1143.1,1146.6,1127.5,1130.9,1130.9,0,,,,1128.5136606743913,1117.5588764649592,10.954784209432091,8.7379389161079,2.216845293324191,,,,,-0.010802536628033987,,3.0573654713628384,
2010-01-18,1129.4,1137.55,1126.75,1133.0,1133.0,0,,,,1129.203866724485,1118.7026633934806,10.501203331004263,9.090591799087173,1.4106115319170893,,,,,0.0018569281103544277,,1.1245983577293783,
2010-01-19,1132.05,1140.8,1129.0,1138.1,1138.1,0,,,,1130.5725026130256,1120.1395031421116,10.432999470913956,9.35907333345253,1.0739261374614255,,,,,0.004501323918799649,,1.7023368035387065,
2010-01-20,1138.5,1141.6,1107.4,1111.7,1111.7,0,,,,1127.6690406725602,1119.5143547612145,8.154685911345723,9.118195849031169,-0.9635099376854459,54.53110198926433,,,,-0.02319655566294687,,-2.388269382737729,
2010-01-21,1111.65,1117.85,1088.7,1095.15,1095.15,0,,,,1122.6661113383202,1117.7095877418653,4.956523596454872,8.28586139851591,-3.3293378020610387,49.371069182389995,,,,-0.014887109831789092,,-3.28093261503134,
