序号,代码,买入日,卖出日,预期分红%,预期收益%,实际买价,实际卖价,实际分红,实际收益%,状态
1,JEPI,2025-11-13,2025-11-16,1.200%,1.500%,,,,,待执行
2,XYLD,2025-11-18,2025-11-21,2.000%,2.300%,,,,,待执行
3,SDIV,2025-12-03,2025-12-06,4.333%,4.633%,,,,,待执行
4,VYM,2025-12-08,2025-12-11,2.692%,2.992%,,,,,待执行
5,DGRO,2025-12-13,2025-12-16,2.471%,2.771%,,,,,待执行
6,NOBL,2025-12-18,2025-12-21,2.385%,2.685%,,,,,待执行
7,SCHD,2025-12-23,2025-12-26,3.200%,3.500%,,,,,待执行
8,HDV,2026-01-08,2026-01-11,3.727%,4.027%,,,,,待执行
